2016,4.9,4.9,5,5,4.7,4.9,4.9,4.9,5,4.9,4.6, ,1
2015,5.7,5.5,5.5,5.4,5.5,5.3,5.3,5.1,5.1,5,5,5,2
2014,6.6,6.7,6.7,6.3,6.3,6.1,6.2,6.1,5.9,5.8,5.8,5.6,3
2013,7.9,7.7,7.5,7.5,7.5,7.5,7.3,7.2,7.2,7.2,7,6.7,4
2012,8.3,8.3,8.2,8.1,8.2,8.2,8.2,8.1,7.8,7.9,7.8,7.8,5
2011,9,8.9,8.8,9,9.1,9.2,9.1,9.1,9.1,9,8.6,8.5,6
2010,9.7,9.7,9.7,9.9,9.7,9.5,9.5,9.6,9.6,9.6,9.8,9.4,7
2009,7.6,8.1,8.5,8.9,9.4,9.5,9.4,9.7,9.8,10.2,10,10,8
2008,4.9,4.8,5.1,5,5.5,5.6,5.8,6.2,6.2,6.6,6.8,7.2,9
